id,name,Industry,year,scope1_intensity,scope2_intensity,scope3_intensity,scope_1,scope_2,scope_3,energy_cons,waste,waste_recycled,water_cons,waste_water,renewable_energy_pct,waste_recycled_pct,fuel_fleet,donations,donations_pct,contrib_political,legal_spending,fines_spending,employees,employee_turnover,female_pct,female_mgmt_pct,employee_parental_pct,employee_tenure,employee_under30_pct,employee_over50_pct,training_spending
70,Daimler Truck,Automotive,2020,,,,1027000,2527000,,34959600,1025000000,,14381000,,,,,,,,,,,4.9,18.7,20.5,,,,,
70,Daimler Truck,Automotive,2019,,,,1239000,2982000,,40633200,1249000000,,,,,,,,,,,,,,19,19.8,,,,,
70,Daimler Truck,Automotive,2018,,,,1247000,3672000,,41785200,1328000000,,,,,,,,,,,,,,19.1,18.8,,,,,
5,Aroundtown S.A.,Real Estate,2021,,,,11366,25927,70085,,1365841154,,5856611,,,,0.79,,,,,,1631,,0.48,,,,,,
5,Aroundtown S.A.,Real Estate,2020,,,,9031,26660,59867,,1357932721,,5931777,,,,0.69,,,,,,659,,0.48,,,,,,
57,Uniper SE,Utilities,2021,,,,56107645.68,881177.4926,117285923.4,,158367,,,,,,,,,,,,11838,,25.38435547,,,,4.544686602,0.929211015,
57,Uniper SE,Utilities,2020,,,,46958461.81,1083896.895,,,166484,,,,,,,,,,,,12100,,25.09917355,,,,5.900826446,0.537190083,
72,Deutsche Bank,Financial Services,2021,,,,32991,47068,1992706,2552112,,,1007336,,,,,,,,,,82969,,46.6,,,,14.7,30.2,
72,Deutsche Bank,Financial Services,2020,,,,39408,81959,1912705,2693238,,,1302633,,,,,,,,,,84659,,46.4,,,,14.9,29.6,
72,Deutsche Bank,Financial Services,2019,,,,50273,104671,2127013,3209506,,,1711257,,,,,,,,,,87597,,46.3,,,,15.1,29.2,
77,Fresenius,Health Care,2021,,,,578000,946000,,21024000,,,,,,,,,,,,,316078,,69,,,,,,
77,Fresenius,Health Care,2020,,,,536000,976000,,19692000,,,,,,,,,,,,,311269,,68,,,,,,
77,Fresenius,Health Care,2019,,,,522000,982000,,19152000,,,,,,,,,,,,,294134,,68,,,,,,
48,Siemens Healthineers AG,Health Care,2021,,,,106000,245000,3243000,1632859,25300000,,1160000,1140000,38.27642191,82,,9.5,,,,,55526,,31,11.82328999,,,28,18,
